dataset,experiment_name,n_cubes,perc_overlap,start,end,n_months_total_with_warmup,n_assets_total_in_subpanel,tda_mapper_total_return,tda_mapper_ann_return_geo,tda_mapper_ann_vol,tda_mapper_sharpe,tda_mapper_sortino,tda_mapper_max_dd,eqw_reb_total_return,eqw_reb_ann_return_geo,eqw_reb_ann_vol,eqw_reb_sharpe,eqw_reb_sortino,eqw_reb_max_dd,diff_ann_return_geo,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,final_nav_tda_mapper,final_nav_eqw_reb,curves_path,config_path
sp500,cover_ncubes_8_overlap_015,8,0.15,1975-01-31,1984-12-31,180,794,2.3106476263072824,0.12717486504152853,0.09780976714094174,0.4042048876073365,0.6008453264172527,-0.09612069887828112,3.303857086558402,0.1571396739955213,0.12953782937985686,0.5349926230727894,0.8748749685799769,-0.10800005011668112,-0.029964808953992783,-0.031728062238915125,-0.13078773546545286,-0.2740296421627242,0.011879351238400004,3.3106476263072824,4.303857086558402,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_015_1975-01-31_1984-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_015.json
sp500,cover_ncubes_8_overlap_015,8,0.15,1985-01-31,1994-12-31,181,814,1.032603732000053,0.07350796694807715,0.08674090411620755,0.21505209220916394,0.2856381558911937,-0.16768376117764494,2.0506451155117165,0.11799321758491521,0.12939591209265355,0.4967190331527192,0.7005620199802647,-0.2333491513132976,-0.04448525063683806,-0.042655007976446,-0.28166694094355527,-0.414923864089071,0.06566539013565265,2.032603732000053,3.0506451155117165,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_015_1985-01-31_1994-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_015.json
sp500,cover_ncubes_8_overlap_015,8,0.15,1995-01-31,2004-12-31,181,861,1.628703282367875,0.10147376296462829,0.0921797455345478,0.6837512913390712,1.0362702230042393,-0.13246452708683465,2.0696084702338324,0.11868624573883113,0.109066927505685,0.7372256528947724,1.1322077120260468,-0.17745954366664218,-0.017212482774202842,-0.0168871819711372,-0.05347436155570118,-0.09593748902180743,0.044995016579807534,2.628703282367875,3.0696084702338324,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_015_1995-01-31_2004-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_015.json
sp500,cover_ncubes_8_overlap_015,8,0.15,2005-01-31,2014-12-31,181,865,0.6940022712195528,0.054123265738723614,0.08550423354378385,0.49429732771091545,0.6753328601818802,-0.32635225955427105,1.0744268237379524,0.0756966396735812,0.13110598527045145,0.5149430880003395,0.7510733154929861,-0.44755770246563387,-0.021573373934857587,-0.0456017517266676,-0.020645760289424053,-0.07574045531110585,0.12120544291136282,1.6940022712195528,2.0744268237379524,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_015_2005-01-31_2014-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_015.json
sp500,cover_ncubes_8_overlap_015,8,0.15,2015-01-31,2025-11-30,192,821,0.9150568122999585,0.0613257515527057,0.0886600225372481,0.503857397096499,0.725000069705355,-0.1361898582774096,1.5730356207186267,0.09043074591386135,0.12973394721231887,0.5888812215457251,0.8975239415842616,-0.2184859599315404,-0.029104994361155656,-0.041073924675070775,-0.08502382444922607,-0.1725238718789066,0.08229610165413082,1.9150568122999585,2.5730356207186267,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_015_2015-01-31_2025-11-30.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_015.json
sp500,cover_ncubes_8_overlap_025,8,0.25,1975-01-31,1984-12-31,180,794,2.252026326404001,0.1251629039790516,0.09722515749726429,0.38800776050984265,0.5823670282213156,-0.09560789428690253,3.303857086558402,0.1571396739955213,0.12953782937985686,0.5349926230727894,0.8748749685799769,-0.10800005011668112,-0.0319767700164697,-0.03231267188259257,-0.14698486256294674,-0.29250794035866134,0.012392155829778595,3.252026326404001,4.303857086558402,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_025_1975-01-31_1984-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_025.json
sp500,cover_ncubes_8_overlap_025,8,0.25,1985-01-31,1994-12-31,181,814,1.2224910178980113,0.08313852095902541,0.08805111496957702,0.31492967931973065,0.42958797325231945,-0.1707485993833341,2.0506451155117165,0.11799321758491521,0.12939591209265355,0.4967190331527192,0.7005620199802647,-0.2333491513132976,-0.0348546966258898,-0.04134479712307654,-0.18178935383298855,-0.27097404672794523,0.0626005519299635,2.2224910178980113,3.0506451155117165,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_025_1985-01-31_1994-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_025.json
sp500,cover_ncubes_8_overlap_025,8,0.25,1995-01-31,2004-12-31,181,861,1.6828369777943895,0.10372131160042675,0.09277347073142292,0.7021682556947703,1.0699809513238565,-0.13421151376593787,2.0696084702338324,0.11868624573883113,0.109066927505685,0.7372256528947724,1.1322077120260468,-0.17745954366664218,-0.014964934138404384,-0.016293456774262083,-0.035057397200002116,-0.06222676070219024,0.04324802990070431,2.6828369777943895,3.0696084702338324,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_025_1995-01-31_2004-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_025.json
sp500,cover_ncubes_8_overlap_025,8,0.25,2005-01-31,2014-12-31,181,865,0.6334461183097646,0.050293024941469255,0.08727286375040577,0.4447238384316882,0.6006133910178622,-0.3374715725770643,1.0744268237379524,0.0756966396735812,0.13110598527045145,0.5149430880003395,0.7510733154929861,-0.44755770246563387,-0.025403614732111945,-0.043833121520045676,-0.07021924956865128,-0.1504599244751239,0.11008612988856958,1.6334461183097646,2.0744268237379524,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_025_2005-01-31_2014-12-31.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_025.json
sp500,cover_ncubes_8_overlap_025,8,0.25,2015-01-31,2025-11-30,192,821,0.9933198044036629,0.0652270010215994,0.08810315123819923,0.5482066375654656,0.8039207773413275,-0.13084827967023938,1.5730356207186267,0.09043074591386135,0.12973394721231887,0.5888812215457251,0.8975239415842616,-0.2184859599315404,-0.02520374489226196,-0.041630795974119644,-0.04067458398025947,-0.09360316424293413,0.08763768026130103,1.9933198044036629,2.5730356207186267,results_SP500_CRSP/cover_grid/nav_curves_sp500_cover_ncubes_8_overlap_025_2015-01-31_2025-11-30.csv,results_SP500_CRSP/cover_grid/config_sp500_cover_ncubes_8_overlap_025.json
