,tda_mapper_ret,tda_mapper_nav,eqw_reb_ret,eqw_reb_nav
1985-01-31,0.06107755660935471,1.0610775566093547,0.07089854643016517,1.0708985464301652
1985-02-28,0.01253395423738623,1.0743770541462139,0.008107494927214062,1.0795808509629086
1985-03-31,-0.001295560263440456,1.0729851339269099,0.0024271476530505266,1.0822011530916016
1985-04-30,-0.008644543586124875,1.0637096671694146,-0.008220753431320189,1.0733046442489451
1985-05-31,0.04492732006806205,1.1114992918458266,0.050470636606216375,1.127475012916598
1985-06-30,0.010852350051681245,1.1235616712431333,0.00940281021595,1.1380764464862785
1985-07-31,0.008012252467339895,1.1325639310157596,0.007185270705546035,1.1462538338378883
1985-08-31,0.0041738949984611385,1.1372911339428637,-0.0034848481297967953,1.142259313308766
1985-09-30,-0.017060323019638314,1.1178885798304277,-0.03139132902441749,1.1064022753734855
1985-10-31,0.026901462712267062,1.147961417777205,0.03106199386353026,1.1407693360617328
1985-11-30,0.04177139440730428,1.195913366923545,0.05337051836078514,1.201652786857436
1985-12-31,0.022212879864644753,1.2224780468715406,0.03232671579201068,1.240498274978854
1986-01-31,0.005822159190796969,1.2295955086676813,0.014260377474649696,1.2581882486367042
1986-02-28,0.04290202384450126,1.2823476444996338,0.05967852610076023,1.3332750688726396
1986-03-31,0.0572358618944555,1.3557439171808952,0.04704235520905365,1.395995468253922
1986-04-30,-0.007313103998987999,1.3458292209185558,-0.016224751949310296,1.3733457880591409
1986-05-31,0.03741499959470855,1.3961834206737707,0.03976604580879214,1.4279583195784122
1986-06-30,0.004601625958104713,1.4026081345446186,0.0016417247056961079,1.4303026340303684
1986-07-31,-0.0422984150788765,1.3432800334766417,-0.05415731573673646,1.3528412826801
1986-08-31,0.031427921580711365,1.385496533029681,0.06069984528463826,1.4349585392334536
1986-09-30,-0.03984634914524037,1.3302895544350601,-0.05151635692797411,1.3610347029494587
1986-10-31,0.03745899397451004,1.3801208628389967,0.04880173897743225,1.4274555632620252
1986-11-30,0.013282641878794448,1.3984525140095398,0.015543614387512205,1.4496433820926793
1986-12-31,-0.017045836593214268,1.3746147209723636,-0.021019833803176867,1.419172119127216
1987-01-31,0.0761420424269772,1.4792806933773888,0.10276045675525161,1.565006894303047
1987-02-28,0.029427933533138505,1.5228128672989536,0.040705794821718246,1.6287117438371213
1987-03-31,0.010576666582602895,1.538919151264072,0.01519529262702623,1.6534604953898004
1987-04-30,-0.004164475369665174,1.5325103603627268,-0.006884324241919343,1.6420775372183325
1987-05-31,0.008849120755269663,1.5460717296002784,0.011554920815851582,1.6610516131343789
1987-06-30,0.0238423129204188,1.5829336555748215,0.03302674357634616,1.7159107388284442
1987-07-31,0.045156174231196465,1.654412883522383,0.05469351605613632,1.8097599303734546
1987-08-31,0.010478735466945242,1.6717490384819202,0.017789264834753352,1.8419542290621926
1987-09-30,-0.004761606619372645,1.6637888271943548,-0.010977722158526434,1.8217337673068252
1987-10-31,-0.13829086021831657,1.4337020390600235,-0.18752156635598544,1.480119397777859
1987-11-30,-0.026145046047340692,1.396217833230633,-0.045931176178985206,1.4121357729525907
1987-12-31,0.04073563669692543,1.4530936556348844,0.06720012225328931,1.5070314695332483
1988-01-31,0.014859271848761317,1.4746855692856733,0.03661889870803194,1.562217302265903
1988-02-29,0.0160708783276257,1.498385061641169,0.05693857508351606,1.651167729427738
1988-03-31,0.0029658339928923436,1.5028290229914265,-0.006813293434234249,1.6399178391780087
1988-04-30,0.0037631822287217493,1.5084844424635553,0.004223279134480054,1.6468436699704707
1988-05-31,0.0013656398845505637,1.5105444889834074,0.0051515585410142894,1.6553274815442223
1988-06-30,0.012321639739926303,1.529156873987792,0.039667442292272495,1.7209900888931904
1988-07-31,-0.003162293886581652,1.5243212305535563,-0.00380206596851349,1.7144467710440605
1988-08-31,-0.009326241825858417,1.5101050421371238,-0.021369647383689894,1.6778096480887432
1988-09-30,0.013122157183361507,1.529920877863434,0.029852912068366984,1.7278971519805943
1988-10-31,0.010328177111334626,1.5457221716563359,0.014279771040732542,1.752571127692811
1988-11-30,-0.009704737848610439,1.5307213431936262,-0.017752853349947317,1.7214579894775288
1988-12-31,0.007185761176289683,1.541720741193265,0.020452724180923042,1.7566664949253592
1989-01-31,0.03337721172355876,1.5931790807906743,0.05556567658779591,1.8542768572549986
1989-02-28,-0.0029490458545777098,1.5884807226268687,-0.009357277801644952,1.8369258735805023
1989-03-31,0.013166936971086847,1.6093961481814834,0.01538629196433405,1.8651893513882511
1989-04-30,0.013873470575987451,1.6317240582883867,0.0363293125629425,1.932950398323907
1989-05-31,0.016571970145952932,1.6587649406687752,0.031235198378562912,1.9933264874714762
1989-06-30,0.0023596398466030027,1.6626790285189255,-0.003940196633338928,1.985472389156396
1989-07-31,0.02347072242291679,1.701703306475698,0.061625690455455705,2.107828496018402
1989-08-31,0.0052823627537638505,1.710692320639782,0.019310742972856496,2.148532230335876
1989-09-30,-0.0021634957651713357,1.7069912450485665,-0.014941579554660385,2.116429765090561
1989-10-31,-0.016646453951114942,1.6785758938929092,-0.03625596235850139,2.0396965671930256
1989-11-30,-0.004379354685693931,1.6712248146866964,0.009985892834539663,2.060064758527994
1989-12-31,0.0030916845782761036,1.6763917146730953,0.009989761544796758,2.080644314232528
1990-01-31,-0.03080457666016466,1.624751177585983,-0.05393658486193049,1.968421465610432
1990-02-28,0.013929042408199912,1.647382405641351,0.008671327503379471,1.9854902928034222
1990-03-31,0.01480390276696529,1.6717700945944751,0.02458419188291966,2.0343019671433757
1990-04-30,-0.019782794265689903,1.6386978107535797,-0.02835135018825533,1.9766267596842373
1990-05-31,0.03186888978878745,1.690921290681613,0.06722386896610259,2.1095032579721424
1990-06-30,-0.002270895137053303,1.6870813857454643,-0.012786669492721559,2.0825297370186333
1990-07-31,-0.007069604365371301,1.6751543878160615,-0.01521215848104207,2.050849964617623
1990-08-31,-0.043836873838759984,1.6017208562569236,-0.08652364922140887,1.8734029416733091
1990-09-30,-0.016272019675410664,1.5756576229693953,-0.05714394708355506,1.7663493031081532
1990-10-31,-0.014009303303686677,1.553583757426451,-0.028202612801353544,1.7165336376406533
1990-11-30,0.010198804192574408,1.5694284539652075,0.06402452983478504,1.8264338967361893
1990-12-31,0.0064105479687461935,1.5794893503528666,0.029610484661442203,1.8805154896206344
1991-01-31,0.03776119357518829,1.6391327534614897,0.0668335667406895,2.0061970471030954
1991-02-28,0.02646725601970526,1.6825160996976394,0.060834298808261224,2.1282426377348167
1991-03-31,0.009335907718741123,1.698223914739713,0.02349174307637003,2.1782387669846592
1991-04-30,-0.00451301024600637,1.6905598128124795,0.0012930173873901365,2.1810552675842576
1991-05-31,0.020419992811391428,1.7250810320373378,0.043732398152351394,2.2764380449385357
1991-06-30,-0.03416690574472236,1.6661403510137096,-0.038752615451812744,2.1882201167831563
1991-07-31,0.017774413769863825,1.6957550190112936,0.028235673666950234,2.250005985912101
1991-08-31,0.012855679041838328,1.7175551012692893,0.015017236727642356,2.283794858441156
1991-09-30,-0.0040180647386967175,1.7106538536801106,-0.016637559668476357,2.2457980852132815
1991-10-31,0.004755732041603395,1.7187892650241494,0.009038847839522971,2.266097512383816
1991-11-30,-0.01562199593930737,1.6919383461054172,-0.04057751753611005,2.1741449008365263
1991-12-31,0.03388021845643927,1.7492615868862953,0.08912235165308577,2.367909807233642
1992-01-31,0.02600748562712875,1.7947554824653291,0.017329870238162487,2.4089453769286737
1992-02-29,-0.001397294945522853,1.7922476797012308,0.024843362062284272,2.468791679115979
1992-03-31,-0.014260499682961784,1.7666893322330623,-0.015118835114016408,2.4314664247885687
1992-04-30,-0.003814605709646924,1.7599501090191536,0.015602797151086815,2.469404102194223
1992-05-31,-0.004675475341430486,1.7517215056822866,0.0003225188331300065,2.4702005315237887
1992-06-30,-0.0027901693846744,1.7468339059666562,-0.016891248316403894,2.4284757609545076
1992-07-31,0.023119258675893616,1.7872194109025212,0.03220794824307071,2.5066919825728817
1992-08-31,-0.01927048569911918,1.752778824803536,-0.025573399966348425,2.4425873459101064
1992-09-30,0.008625038133847848,1.7678966090076673,0.014623081731701081,2.4783055003061687
1992-10-31,0.029137594410762902,1.8194088633610956,0.017194630024199957,2.5209190464708726
1992-11-30,0.023698641953357667,1.8625263825806555,0.03616383189926606,2.6120851390991033
1992-12-31,0.018791634808306014,1.8975262981829462,0.016394940797916188,2.65491012031375
1993-01-31,0.026421454923916916,1.947661703737334,0.021429899777516286,2.7118045781103874
1993-02-28,0.008866582581200353,1.9649308070737626,0.010810347358779164,2.741120127568888
1993-03-31,0.020652224661899764,2.005510999546538,0.022139242852088254,2.801806451759883
1993-04-30,-0.011520097334021423,1.9824073176273116,-0.014778876494980615,2.7603989002464835
1993-05-31,0.02082111908958811,2.023683256471701,0.025623758990845496,2.831130696384994
1993-06-30,0.007575453159377491,2.039013574190519,0.0013457663996728807,2.834940736949272
1993-07-31,0.0008695199795443447,2.0407865372318397,-6.034300768114915e-05,2.8347696680986068
1993-08-31,0.03089533174996009,2.1038373143304696,0.03550289046930269,2.9354121851308133
1993-09-30,-0.00927619048045375,2.084321718662854,-0.005326603800354613,2.919776407429888
1993-10-31,0.02858823991898088,2.1439088080243307,0.018423085212707517,2.973567696986022
1993-11-30,-0.009616028775656862,2.1232929192339847,-0.005961761236190797,2.9558399963569415
1993-12-31,0.019087069573467588,2.1638203589082545,0.018662028551101672,3.011001966761443
1994-01-31,0.03392952839203178,2.2372377632110885,0.03170811037618328,3.1064751494664202
1994-02-28,-0.004630754228164894,2.2268776649796886,-0.013705030261757843,3.063900813535584
1994-03-31,-0.03010384890008369,2.159840076234169,-0.03599412400883978,2.953618387702399
1994-04-30,-0.0012061517547180074,2.157234981336309,0.004409947641801174,2.966643690146028
1994-05-31,0.008334881025729055,2.1752152782502883,0.010354182118212967,2.997360859193647
1994-06-30,-0.012815002180383044,2.1473398897167084,-0.018624898927586207,2.941535316141662
1994-07-31,0.028422559447236356,2.2083727853856034,0.031097910881042443,3.033010919256475
1994-08-31,0.04236656188036037,2.301933947652546,0.04300876867771152,3.1634569842797493
1994-09-30,-0.016278028428662442,2.264463001411755,-0.024603662729263277,3.085624355579998
1994-10-31,0.00815763374869109,2.282935661214734,0.011335169889062536,3.120600431864326
1994-11-30,-0.03553832284328706,2.2018039566560317,-0.03811054721296548,3.0016726417729602
1994-12-31,0.013070540853308237,2.2305827252224804,0.016315061495123642,3.0506451155117165
