rebalance_date,n_assets_panel,n_assets_used_ph,regime_score_H1,alpha_t,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
2016-02-02,82,82,,1.0,81.0,5.0,0.12075483798980713,0.04361283779144287,0.020809173583984375,0.04243892431259155,0.043143272399902344
2016-05-03,82,82,0.01868128776550293,1.0,81.0,8.0,0.15989935398101807,0.044728994369506836,0.01423025131225586,0.027715012431144714,0.042371755838394164
2016-08-02,82,82,0.022364497184753418,1.0,81.0,15.0,0.150678813457489,0.036843180656433105,0.007752895355224609,0.012877285480499268,0.018207800388336182
2016-10-31,82,82,0.019053161144256592,1.0,81.0,17.0,0.22869616746902466,0.04243040084838867,0.012902259826660156,0.017829298973083496,0.02335909605026245
2017-02-01,82,82,0.025515198707580566,1.0,81.0,16.0,0.281859815120697,0.05103039741516113,0.013575553894042969,0.026987865567207336,0.040207862854003906
2017-05-03,82,82,0.03244292736053467,1.0,81.0,23.0,0.3769020438194275,0.07438921928405762,0.009945392608642578,0.023105919361114502,0.03476896286010743
2017-08-02,82,82,0.030837714672088623,1.0,81.0,23.0,0.43228405714035034,0.061675429344177246,0.016335010528564453,0.024636447429656982,0.03999319076538087
2017-10-31,82,82,0.02138376235961914,1.0,81.0,31.0,0.5592253804206848,0.043849945068359375,0.01934283971786499,0.028386712074279785,0.03391683101654053
2018-02-01,82,82,0.03732657432556152,1.0,81.0,32.0,0.6988074779510498,0.0780864953994751,0.018243402242660522,0.027928024530410767,0.041824448108673105
2018-05-03,82,82,0.03250354528427124,0.9783807276108113,81.0,18.0,0.30572283267974854,0.04318499565124512,0.012262850999832153,0.027232050895690918,0.03526451587677003
2018-08-02,82,82,0.01996016502380371,1.0,81.0,21.0,0.2605265974998474,0.03236269950866699,0.010327279567718506,0.015464603900909424,0.02731013298034668
2018-10-31,82,82,0.020596295595169067,1.0,81.0,14.0,0.2516888976097107,0.041192591190338135,0.016886502504348755,0.026668265461921692,0.03777660727500916
2019-02-04,82,82,0.03421697020530701,0.948153128867699,81.0,11.0,0.21430271863937378,0.06843394041061401,0.014162540435791016,0.02631351351737976,0.03245061635971069
2019-05-06,82,82,0.03421697020530701,0.9495703887448383,81.0,13.0,0.09820955991744995,0.025076329708099365,0.006186068058013916,0.0088731050491333,0.01835159063339234
2019-08-05,82,82,0.01663804054260254,1.0,81.0,9.0,0.13708364963531494,0.03327608108520508,0.01083439588546753,0.029831349849700928,0.030774402618408202
2019-11-01,82,82,0.015074491500854492,1.0,81.0,15.0,0.17594271898269653,0.033620238304138184,0.007200181484222412,0.016255944967269897,0.02491283416748047
