rebalance_date,n_assets_panel,n_assets_used_ph,regime_score_H1,alpha_t,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
2013-02-01,82,82,,1.0,81.0,11.0,0.10751771926879883,0.03889429569244385,0.0030486583709716797,0.012322098016738892,0.022843599319458008
2013-05-03,82,82,0.01971656084060669,1.0,81.0,9.0,0.09650278091430664,0.03943312168121338,0.007100999355316162,0.010554015636444092,0.021247792243957522
2013-08-02,82,82,0.020006179809570312,1.0,81.0,14.0,0.15901118516921997,0.040012359619140625,0.005527079105377197,0.019704759120941162,0.026552677154541023
2013-10-31,82,82,0.020006179809570312,1.0,81.0,21.0,0.24969393014907837,0.036004483699798584,0.008754134178161621,0.015945076942443848,0.021303892135620117
2014-02-03,82,82,0.018002241849899292,1.0,81.0,14.0,0.2006281614303589,0.041397929191589355,0.011571764945983887,0.01676417887210846,0.031686079502105724
2014-05-05,82,82,0.020698964595794678,1.0,81.0,16.0,0.2008562684059143,0.03560900688171387,0.011815518140792847,0.019426316022872925,0.024554312229156494
2014-08-04,82,82,0.017804503440856934,1.0,81.0,14.0,0.15754610300064087,0.02636110782623291,0.01093226671218872,0.01630103588104248,0.022411644458770755
2014-10-31,82,82,0.013180553913116455,1.0,81.0,18.0,0.18504548072814941,0.02586948871612549,0.007954806089401245,0.01957833766937256,0.023481011390686035
2015-02-03,82,82,0.018574833869934082,1.0,81.0,16.0,0.2633349895477295,0.04685103893280029,0.014421939849853516,0.023181602358818054,0.035006195306777954
2015-05-05,82,82,0.01833873987197876,1.0,81.0,13.0,0.19588243961334229,0.03732270002365112,0.015231966972351074,0.02082669734954834,0.03341559171676636
2015-08-04,82,82,0.027116596698760986,0.7377835807280504,81.0,21.0,0.3677939176559448,0.0656808614730835,0.015012383460998535,0.02256906032562256,0.025252461433410645
2015-11-02,82,82,0.024832487106323242,0.8112250972108875,81.0,10.0,0.12938320636749268,0.03160578012466431,0.00962156057357788,0.023135170340538025,0.028338688611984252
2016-02-03,82,82,0.02365204691886902,0.875144746109968,81.0,6.0,0.1282755732536316,0.04730409383773804,0.01609790325164795,0.038623616099357605,0.046657055616378784
2016-05-04,82,82,0.023005008697509766,1.0,81.0,9.0,0.17085999250411987,0.04322028160095215,0.017141103744506836,0.019067883491516113,0.04320955276489258
2016-08-03,82,82,0.021610140800476074,1.0,81.0,13.0,0.15263205766677856,0.039759278297424316,0.00787431001663208,0.013510584831237793,0.022299873828887942
2016-11-01,82,82,0.020691514015197754,1.0,81.0,19.0,0.23202389478683472,0.04138302803039551,0.008044064044952393,0.01617133617401123,0.025011944770812988
