Date,Mkt-RF,SMB,HML,RF
1980-03,-0.129,-0.067,-0.0096,0.0121
1980-04,0.0395,0.0105,0.0103,0.0126
1980-05,0.0526,0.0205,0.0038,0.0081
1980-06,0.0298,0.0166,-0.008,0.0061
1980-07,0.0651,0.041,-0.0629,0.0053
1980-08,0.0175,0.039,-0.0246,0.0064
1980-09,0.0219,0.0096,-0.0461,0.0075
1980-10,0.0104,0.0239,-0.0293,0.0095
1980-11,0.096,-0.0327,-0.0811,0.0096
1980-12,-0.0446,-0.0028,0.028,0.0131
1981-01,-0.0506,0.0291,0.0674,0.0104
1981-02,0.0061,-0.0047,0.0097,0.0107
1981-03,0.0367,0.0334,0.0061,0.0121
1981-04,-0.0216,0.045,0.0228,0.0108
1981-05,0.0013,0.0194,-0.0043,0.0115
1981-06,-0.0234,-0.0083,0.0514,0.0135
1981-07,-0.0155,-0.0207,-0.0061,0.0124
1981-08,-0.0702,-0.0195,0.0471,0.0128
1981-09,-0.0719,-0.0268,0.0511,0.0124
1981-10,0.0492,0.0213,-0.0409,0.0121
1981-11,0.034,-0.0109,0.0191,0.0107
1981-12,-0.0363,0.0118,0.0079,0.0087
1982-01,-0.0323,-0.0125,0.0319,0.008
1982-02,-0.0586,0.0046,0.0609,0.0092
1982-03,-0.0182,-0.0019,0.0376,0.0098
1982-04,0.0324,0.0164,-0.0308,0.0113
1982-05,-0.0393,0.0017,0.0178,0.0106
1982-06,-0.0308,-0.0043,0.0156,0.0096
1982-07,-0.032,0.0091,0.0007,0.0105
1982-08,0.1123,-0.0428,0.0109,0.0076
1982-09,0.0131,0.0287,0.0023,0.0051
1982-10,0.113,0.0238,-0.0362,0.0059
1982-11,0.0468,0.0463,-0.018,0.0063
1982-12,0.0056,-0.0031,-0.0006,0.0067
1983-01,0.0359,0.0282,-0.0072,0.0069
1983-02,0.0259,0.0318,0.0066,0.0062
1983-03,0.0281,0.0175,0.0206,0.0063
1983-04,0.0666,0.0046,0.0043,0.0071
1983-05,0.0051,0.062,-0.014,0.0069
1983-06,0.0307,0.0093,-0.0389,0.0067
1983-07,-0.0406,0.015,0.0554,0.0074
1983-08,-0.005,-0.0429,0.0559,0.0076
1983-09,0.0092,0.0061,0.0099,0.0076
1983-10,-0.0343,-0.0355,0.0496,0.0076
1983-11,0.0217,0.0202,-0.0073,0.007
1983-12,-0.0177,-0.0025,0.0175,0.0073
1984-01,-0.0192,-0.0035,0.0748,0.0076
1984-02,-0.0477,-0.0168,0.0341,0.0071
1984-03,0.0065,0.001,0.0053,0.0073
1984-04,-0.0051,-0.0116,0.0119,0.0081
1984-05,-0.0598,0.0007,0.0026,0.0078
1984-06,0.0181,-0.0024,-0.0275,0.0075
1984-07,-0.0272,-0.022,0.0039,0.0082
1984-08,0.1027,-0.0027,-0.0174,0.0083
1984-09,-0.008,0.0015,0.0525,0.0086
1984-10,-0.0084,-0.0111,0.0059,0.01
1984-11,-0.0177,-0.0072,0.0387,0.0073
1984-12,0.0184,-0.0066,-0.0029,0.0064
1985-01,0.0797,0.0327,-0.0521,0.0065
1985-02,0.0122,0.0071,-0.0024,0.0058
1985-03,-0.0083,-0.0107,0.0401,0.0062
1985-04,-0.0096,0.0009,0.036,0.0072
1985-05,0.0507,-0.023,-0.0098,0.0066
1985-06,0.0127,0.0048,0.0038,0.0055
1985-07,-0.0072,0.0283,-0.0162,0.0062
1985-08,-0.0101,-0.003,0.0234,0.0055
1985-09,-0.0451,-0.0162,0.0121,0.006
1985-10,0.04,-0.015,0.0077,0.0065
1985-11,0.0646,0.0019,-0.0291,0.0061
1985-12,0.0388,-0.0053,-0.0146,0.0065
1986-01,0.0065,0.0115,0.0046,0.0056
