rebalance_date,n_assets_panel,n_assets_used_ph,landscape_norm_L2,market_safe,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
1994-12-31,49,49,0.2507028913176776,True,48.0,17.0,0.5707910060882568,0.07421654462814331,0.033949077129364014,0.04302018880844116,0.061289560794830326
1995-03-31,49,49,0.34494769671657277,True,48.0,14.0,0.47148942947387695,0.11560863256454468,0.026597023010253906,0.054245755076408386,0.0751725733280182
1995-06-30,49,49,0.3082668032539473,True,48.0,16.0,0.6624174118041992,0.09018850326538086,0.027819037437438965,0.06712895631790161,0.07736682891845703
1995-09-30,49,49,0.3297136628575792,True,48.0,20.0,0.6086077690124512,0.10543346405029297,0.02360743284225464,0.047633156180381775,0.06555155515670778
1995-12-31,49,49,0.48613802221139507,False,48.0,21.0,1.0745052695274353,0.08781003952026367,0.0645761489868164,0.07496565580368042,0.0849759578704834
1996-03-31,49,49,0.638383794437147,False,48.0,22.0,1.202495515346527,0.15938454866409302,0.04157760739326477,0.08226914703845978,0.1185886204242707
1996-06-30,49,49,0.45908867342317683,True,48.0,28.0,1.159730851650238,0.127557635307312,0.027529984712600708,0.07142658531665802,0.0858764410018921
1996-09-30,49,49,0.5532009139000829,True,48.0,24.0,1.1382472515106201,0.14522939920425415,0.04391157627105713,0.06795874238014221,0.0913205862045288
1996-12-31,49,49,0.4496123537673517,True,48.0,23.0,0.8959283232688904,0.12069958448410034,0.025073349475860596,0.054584801197052,0.09144461154937746
1997-03-31,49,49,0.5784800117213138,True,48.0,29.0,1.3134243488311768,0.10782730579376221,0.05141836404800415,0.0712851881980896,0.08397355079650878
1997-06-30,49,49,0.48249077603905954,True,48.0,24.0,1.0400591492652893,0.10056483745574951,0.041442811489105225,0.06807130575180054,0.07903562784194945
1997-09-30,49,49,0.4129377118342771,True,48.0,27.0,1.1461375951766968,0.11497777700424194,0.03988540172576904,0.06163874268531799,0.07598254680633547
1997-12-31,49,49,0.5707362170483633,True,48.0,31.0,1.3562930226325989,0.1097368597984314,0.03727918863296509,0.06740596890449524,0.1002148985862732
1998-03-31,49,49,0.7531930624317765,False,48.0,26.0,1.1278122067451477,0.175337016582489,0.03285148739814758,0.05469225347042084,0.09354990720748901
1998-06-30,49,49,0.5078260079444485,True,48.0,27.0,0.7804889678955078,0.1317804455757141,0.02471095323562622,0.033437758684158325,0.0672612547874451
