,tda_mapper_ret,tda_mapper_nav,tda_ph_ret,tda_ph_nav,eqw_reb_ret,eqw_reb_nav
2005-01-31,-0.010893146605905962,0.989106853394094,-0.010893146605905962,0.989106853394094,-0.018401947457558118,0.9815980525424419
2005-02-28,0.012240778536019396,1.0012142913349502,0.012240778536019396,1.0012142913349502,0.01602525218106644,0.9973284088748783
2005-03-31,-0.00585081413795665,0.9953563726040835,-0.00585081413795665,0.9953563726040835,-0.008837429832511567,0.9885145890414762
2005-04-30,-0.016894964932806702,0.9785398615932918,-0.016894964932806702,0.9785398615932918,-0.022779434740900273,0.965996785469978
2005-05-31,0.021645148941337088,0.999720502642514,0.021645148941337088,0.999720502642514,0.0314395091014946,0.9963672501987758
2005-06-30,0.00501022330140711,1.004729325599748,0.00501022330140711,1.004729325599748,0.011025768792081978,1.00735296513147
2005-07-31,0.029439603312602338,1.0343081583819431,0.029439603312602338,1.0343081583819431,0.038971505328720686,1.0466110265799937
2005-08-31,-0.008933332692123564,1.0250683394969395,-0.008933332692123564,1.0250683394969395,-0.010411711300120629,1.03571401472772
2005-09-30,0.0014476523227451802,1.0265522820595847,0.0014476523227451802,1.0265522820595847,0.0044962214488609145,1.0403708142956245
2005-10-31,-0.012760181397678627,1.0134532887263035,-0.020852376435186205,1.0051462274436789,-0.02061290895938874,1.0189257454165437
2005-11-30,0.028638869188759103,1.0424774448910539,0.03414484572410585,1.0394667903099102,0.03414484572410585,1.0537168077981112
2005-12-31,0.009980064125829271,1.0528814366407973,0.006245190024375911,1.0459584579394237,0.006245190024375911,1.0602974694946892
2006-01-31,0.018245319363194158,1.0720915947038874,0.01819722304669369,1.0649919972961233,0.03162402892485261,1.0938283473389372
2006-02-28,0.0056035235484232105,1.0780990852008774,0.0056035235484232105,1.0709597050318544,0.0029029290890321127,1.0970036534668353
2006-03-31,0.01166285238774203,1.090672795690935,0.01166285238774203,1.0834501499848608,0.011160116409882905,1.1092463419415919
2006-04-30,0.005525918509818949,1.0966997646807994,0.005525918509818949,1.0894372072231282,0.01133473145961762,1.1218193513500632
2006-05-31,-0.017177328951756183,1.0778613920615638,-0.017177328951756183,1.070723585942374,-0.02326406157016756,1.0957212768896498
2006-06-30,-0.0015698112614835238,1.0761693531099874,-0.0015698112614835238,1.0690427519992258,-0.0029526325464248656,1.0924860145856952
2006-07-31,0.005279423878807629,1.0818509072904372,0.005279423878807629,1.0746866818315968,-0.011222457079953754,1.0802256371765575
2006-08-31,0.022391195934084018,1.106074842927044,0.022391195934084018,1.0987502018922388,0.024410546181453142,1.1065945349792456
2006-09-30,0.019541013305758057,1.1276886661498455,0.019541013305758057,1.1202208942071195,0.021395925617597216,1.1302711493385011
2006-10-31,0.02460256569837822,1.1554327006461136,0.03126584896733107,1.1552455514954476,0.03152630559936494,1.165904423002692
2006-11-30,0.011664061153561995,1.1689097383252751,0.01827650524660975,1.1763594028784767,0.01827650524660975,1.1872130813067463
2006-12-31,0.008105358801979856,1.17838417116153,0.008422786842087306,1.1862676273786075,0.008422786842087306,1.1972127240267307
2007-01-31,0.02243014979488478,1.2048155046366043,0.022370264615734714,1.2128047481081465,0.01811510550073417,1.2189003588292964
