rebalance_date,n_assets_panel,n_assets_used_ph,landscape_norm_L2,market_safe,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
2014-12-31,49,49,0.15254683433034347,True,48.0,9.0,0.2159569263458252,0.06416046619415283,0.015588164329528809,0.024761080741882324,0.05249736309051514
2015-03-31,49,49,0.3399451814986846,True,48.0,16.0,0.45135122537612915,0.08040684461593628,0.018019169569015503,0.03846484422683716,0.06531885266304016
2015-06-30,49,49,0.3354515972229868,True,48.0,7.0,0.33872389793395996,0.11852413415908813,0.04836869239807129,0.06554475426673889,0.09091293811798097
2015-09-30,49,49,0.3894879472619878,False,48.0,15.0,0.5857235491275787,0.11093983054161072,0.019809305667877197,0.06979987025260925,0.09088590145111083
2015-12-31,49,49,0.19339563771895898,True,48.0,20.0,0.533176600933075,0.06983190774917603,0.023317813873291016,0.04132929444313049,0.05170513987541201
2016-03-31,49,49,0.2541334877762195,True,48.0,15.0,0.3877139389514923,0.09735113382339478,0.01872462034225464,0.03224599361419678,0.05741803646087646
2016-06-30,49,49,0.1356143376903275,True,48.0,14.0,0.375155508518219,0.0801495909690857,0.023735135793685913,0.03026588261127472,0.04445212483406068
2016-09-30,49,49,0.2714648061733965,True,48.0,17.0,0.5581446290016174,0.08674198389053345,0.025526344776153564,0.04585987329483032,0.06769013404846191
2016-12-31,49,49,0.18793922867082458,True,48.0,12.0,0.4014165997505188,0.09563279151916504,0.02946212887763977,0.04498793184757233,0.05616183578968048
2017-03-31,49,49,0.11729515696906362,True,48.0,18.0,0.4366012513637543,0.057090163230895996,0.025665879249572754,0.03234441578388214,0.03851082921028138
2017-06-30,49,49,0.47664131333396265,False,48.0,18.0,0.9293087124824524,0.1617467999458313,0.034359127283096313,0.08798830211162567,0.09848986864089966
2017-09-30,49,49,0.46427032748593844,False,48.0,14.0,0.774242103099823,0.13015294075012207,0.051439762115478516,0.07481174170970917,0.11468190550804139
2017-12-31,49,49,0.5124064182894584,False,48.0,22.0,0.9236753582954407,0.15587353706359863,0.02520802617073059,0.0621553510427475,0.10292421579360969
2018-03-31,49,49,0.22338092919704028,True,48.0,21.0,0.5841835737228394,0.0846794843673706,0.018689870834350586,0.039837658405303955,0.06026744842529297
2018-06-30,49,49,0.7915803187059769,False,48.0,22.0,1.2085497975349426,0.17571377754211426,0.04328101873397827,0.05774536728858948,0.14063957929611215
2018-09-30,49,49,0.6926839665020571,False,48.0,27.0,1.5777547359466553,0.1226205825805664,0.05562114715576172,0.08522045612335205,0.10293099880218509
2018-12-31,49,49,0.2404676092709496,True,48.0,21.0,0.5696443319320679,0.07317668199539185,0.0203322172164917,0.03404182195663452,0.04794114828109741
2019-03-31,49,49,0.2800461736077165,True,48.0,17.0,0.5291133522987366,0.08210790157318115,0.018263161182403564,0.048165321350097656,0.06644769906997681
2019-06-30,49,49,0.1710043147587113,True,48.0,9.0,0.2175632119178772,0.05747652053833008,0.01536625623703003,0.041632890701293945,0.054503011703491214
2019-09-30,49,49,0.21838407466646334,True,48.0,12.0,0.32227417826652527,0.08401352167129517,0.020749330520629883,0.028441250324249268,0.06432824134826662
2019-12-31,49,49,0.2854554982307818,True,48.0,9.0,0.3747757077217102,0.10475403070449829,0.03457611799240112,0.05566403269767761,0.07614885568618775
2020-03-31,49,49,0.2275783979307525,True,48.0,17.0,0.4194331467151642,0.0985376238822937,0.020587682723999023,0.027225196361541748,0.04616988301277162
2020-06-30,49,49,0.205077494673174,True,48.0,20.0,0.47324296832084656,0.07347679138183594,0.017913177609443665,0.041305795311927795,0.046199169754982
2020-09-30,49,49,0.15713034166921674,True,48.0,16.0,0.365398108959198,0.06876271963119507,0.024987518787384033,0.029323741793632507,0.0351947546005249
2020-12-31,49,49,0.1963426527359042,True,48.0,13.0,0.3259738087654114,0.06853744387626648,0.020276635885238647,0.027476370334625244,0.05201154351234436
