,tda_mapper_ret,tda_mapper_nav,tda_ph_ret,tda_ph_nav,eqw_reb_ret,eqw_reb_nav
1975-01-31,0.0,1.0,0.0,1.0,0.0,1.0
1975-02-28,0.038328695356570505,1.0383286953565705,0.038328695356570505,1.0383286953565705,0.03941297698691189,1.0394129769869118
1975-03-31,0.034959952685756884,1.0746286174184998,0.034959952685756884,1.0746286174184998,0.04911993258449442,1.0904688723439575
1975-04-30,0.029206975707175713,1.1060152693416778,0.029206975707175713,1.1060152693416778,0.03713946313743128,1.1309683008308922
1975-05-31,0.0359733908574723,1.1458023889200384,0.0359733908574723,1.1458023889200384,0.04791311756707728,1.1851565179932404
1975-06-30,0.034189342589111396,1.1849766193342477,0.034189342589111396,1.1849766193342477,0.05509430973324925,1.2504518982779391
1975-07-31,-0.026766705703818842,1.1532586988986218,-0.026766705703818842,1.1532586988986218,-0.044750340632162995,1.1944937498858665
1975-08-31,-0.013558057432708473,1.1376227512241837,-0.013558057432708473,1.1376227512241837,-0.02106204025731058,1.1693352744386645
1975-09-30,-0.019115006515007457,1.1158770849229127,-0.019115006515007457,1.1158770849229127,-0.02959183413901166,1.1347324989445797
1975-10-31,0.025227882972225862,1.1440283014327366,0.025227882972225862,1.1440283014327366,0.04310701915878573,1.1836474345166805
1975-11-30,0.022365090419570594,1.1696145978368275,0.022365090419570594,1.1696145978368275,0.031165486335754382,1.220536382463461
1975-12-31,-0.0027242473666469055,1.1664282783486788,-0.0027242473666469055,1.1664282783486788,-0.004734727766845698,1.214757474962966
1976-01-31,0.07837617093896748,1.2578484604805804,0.07837617093896748,1.2578484604805804,0.13620126390457152,1.3802089783904479
1976-02-29,0.020923512646560588,1.2841670686509026,0.020923512646560588,1.2841670686509026,0.03079629469968989,1.4227143008361178
1976-03-31,0.00884519653173336,1.2955257787526997,0.00884519653173336,1.2955257787526997,0.017170665976040812,1.4471432528751114
1976-04-30,-0.003542218164589402,1.290936743806508,-0.003542218164589402,1.290936743806508,-0.003310019363143397,1.4423531806868526
1976-05-31,-0.010738457593423734,1.2770740743273494,-0.010738457593423734,1.2770740743273494,-0.008527688368527827,1.4300532422446002
1976-06-30,0.03475470324504547,1.3214584048025375,0.03475470324504547,1.3214584048025375,0.046309951192630296,1.4962789380958104
1976-07-31,0.0011331490878206958,1.3229558141885327,0.0011331490878206958,1.3229558141885327,-0.006869736797585031,1.485999895615322
1976-08-31,-0.012137456063821708,1.3068984961194419,-0.012137456063821708,1.3068984961194419,-0.009137748360633852,1.472421202505261
1976-09-30,0.012756396627465255,1.3235698116877794,0.012756396627465255,1.3235698116877794,0.01634895718097686,1.4964937536973821
1976-10-31,-0.011838772290589397,1.3079003700765095,-0.011838772290589397,1.3079003700765095,-0.018924372196197504,1.4681735489131282
1976-11-30,0.016711725867432584,1.3297576425231417,-0.00025,1.3075733949839905,0.018523597645616244,1.4953694050071313
1976-12-31,0.04450424422177253,1.38893750140176,0.0,1.3075733949839905,0.05592380831380164,1.5789961569710738
1977-01-31,-0.0061094125943817025,1.380451909137887,0.0,1.3075733949839905,-0.018553057151710357,1.5497009510284583
1977-02-28,-0.00851899697334544,1.3686918435020925,-0.008583641211551979,1.296349654103677,-0.012191813349723822,1.5308072862856297
1977-03-31,0.00017136903249266025,1.3689263948990942,0.00017136903249266025,1.296571808289673,0.0015990284681320238,1.5332550907156242
1977-04-30,0.007958353639765048,1.3798207952565096,0.007958353639765048,1.3068903852593916,0.008629819989204398,1.546486806146031
1977-05-31,-0.01736462860714162,1.3558607196024695,-0.01736462860714162,1.2841967190891181,-0.013326591026329082,1.525877408952909
1977-06-30,0.027501901837960408,1.3931494680189227,0.027501901837960408,1.3195145711981378,0.038421911443163724,1.5845045356328218
1977-07-31,-0.015603315254212264,1.3714117176731855,-0.015603315254212264,1.2989257693612066,-0.014797808531529903,1.5610573408971866
1977-08-31,-0.010688944799268723,1.3567527735259064,-0.010688944799268723,1.285041623514157,-0.013912636555268422,1.5393389174713503
1977-09-30,-0.008034574696233072,1.3458518420226913,-0.008034574696233072,1.274716860602264,-0.0022634561649544187,1.5358546913086455
1977-10-31,-0.039583083253661736,1.292578876512813,-0.039583083253661736,1.2242596369841983,-0.029987604799633773,1.4897980877960182
1977-11-30,0.044055509437802745,1.3495240974061278,0.044055509437802745,1.2781950189756766,0.046267369627952554,1.5587271265950935
1977-12-31,0.0010837061193113202,1.350986584928645,0.0010837061193113202,1.279580206739414,0.0032888509035110505,1.5638535477137228
1978-01-31,-0.026097964385869688,1.3157285851493896,-0.026097964385869688,1.246185768075065,-0.03862797117233272,1.5034450579548868
1978-02-28,-0.007365339527216381,1.3060377973941002,-0.00025,1.2458742216330463,-0.007251002907752987,1.4925435734680093
1978-03-31,0.035713107441085884,1.3526804655745548,0.0,1.2458742216330463,0.040359067916870155,1.5527812409184927
1978-04-30,0.05629594573115044,1.4288308916561272,0.0,1.2458742216330463,0.06398491609096522,1.652135818326287
1978-05-31,0.02541279636903146,1.4651414801515659,0.02537951547773492,1.277493905724293,0.026531753778457633,1.6959698790666908
1978-06-30,-0.00013680674478859576,1.4649410389150117,-0.00013680674478859576,1.2773191359415637,-0.008752817869186408,1.681125363603594
1978-07-31,0.019690482341958276,1.493786434573778,0.019690482341958276,1.3024701658328666,0.046229258418083174,1.7588425424708187
1978-08-31,0.027392334681947985,1.5347047325329766,0.027392334681947985,1.3381478645286127,0.03913358521461485,1.8276723569856903
1978-09-30,-0.0015575850213205688,1.5323142994294334,-0.0015575850213205688,1.3360635854585108,-0.0035859367847442657,1.821118439450315
1978-10-31,-0.09239956551474257,1.3907291239301265,-0.09239956551474257,1.2126118906620753,-0.1020825986862183,1.6352139366358365
1978-11-30,0.023587782277793925,1.4235333397127774,0.023587782277793925,1.2412147159264764,0.02276722216606138,1.6724432156202642
1978-12-31,0.013103330787566576,1.4421863679501632,0.013103330787566576,1.2574787629276565,0.006265229344367981,1.6829214559315573
1979-01-31,0.04226241091403497,1.5031366408470928,0.04226241091403497,1.3106228471221775,0.05483141493797303,1.775198420589758
1979-02-28,-0.012420622179970678,1.4844667485462608,-0.012420622179970678,1.2943440959176356,-0.023051059126853964,1.7342782168348456
1979-03-31,0.04566768643869076,1.5522589105475342,0.04566768643869076,1.3534537962337727,0.053359109401702916,1.8268177579399265
1979-04-30,0.00655912289590677,1.5624403675080818,0.00655912289590677,1.3623312660172016,0.00852487421035766,1.8423911495316119
1979-05-31,-0.002761490675044135,1.5581257030028957,-0.002761490675044135,1.3585692009297738,-0.012443872388013586,1.8194646691780347
1979-06-30,0.022529031465057938,1.5932287659923634,0.022529031465057938,1.3891764492049794,0.03779794165712155,1.88823668859082
1979-07-31,0.007349574489027982,1.6049383194860865,0.007349574489027982,1.3993863049968147,0.018463232441100777,1.9230996414760866
1979-08-31,0.05233870019026536,1.688938705013537,0.05233870019026536,1.472628365264406,0.056903098225593585,2.032529969272604
1979-09-30,0.006920684009698946,1.7006273161026857,0.006920684009698946,1.4828199608441206,0.001227725028991694,2.0350253571880557
1979-10-31,-0.06585297359202107,1.5886359503655059,-0.06585297359202107,1.385171857120931,-0.07085871839523311,1.8908260684759084
1979-11-30,0.055500735195765045,1.6768064135692144,0.055500735195765045,1.462049913563626,0.049402646010830324,1.9842378794048738
1979-12-31,0.027811659307724265,1.7234411822684084,0.027811659307724265,1.5027119476505453,0.03362126281810186,2.0509504626419783
1980-01-31,0.04874941027695628,1.8074579235510138,0.04874941027695628,1.575968268914646,0.051071230617780544,2.1556950267052106
1980-02-29,-0.019927397870236563,1.7714399903747011,-0.019927397870236563,1.5445633221891157,-0.01960512750851129,2.1134323508371913
1980-03-31,-0.08320814854557666,1.6240417485160281,-0.08320814854557666,1.4160430678383544,-0.08888148198385752,1.925587351422154
1980-04-30,0.033721951354360964,1.678807605356937,0.033721951354360964,1.4637948032876795,0.03461789117308559,1.9922471247979563
1980-05-31,0.04816582565924232,1.7596687597919694,0.04816582565924232,1.5342996885837388,0.06513624714467231,2.1220146258920587
1980-06-30,0.023014235293522887,1.8001661906684836,0.023014235293522887,1.569610422627584,0.024829954804781684,2.174704153148044
