dataset,experiment_name,n_cubes,perc_overlap,start,end,n_months_total_with_warmup,n_assets_total_in_subpanel,tda_mapper_total_return,tda_mapper_ann_return_geo,tda_mapper_ann_vol,tda_mapper_sharpe,tda_mapper_sortino,tda_mapper_max_dd,eqw_reb_total_return,eqw_reb_ann_return_geo,eqw_reb_ann_vol,eqw_reb_sharpe,eqw_reb_sortino,eqw_reb_max_dd,diff_ann_return_geo,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,final_nav_tda_mapper,final_nav_eqw_reb,curves_path,config_path
kf49,cover_ncubes_8_overlap_015,8,0.15,1975-01-31,1984-12-31,180,49,3.767040762131785,0.16902792799903166,0.1699322322172095,0.5043923805004481,0.8061283819890938,-0.20481013199487208,3.957155331419166,0.17360851753296958,0.1691482309695731,0.5292270871386188,0.8558408331272805,-0.18761342492756894,-0.004580589533937918,0.00078400124763639,-0.024834706638170667,-0.049712451138186786,-0.01719670706730314,4.767040762131785,4.957155331419166,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_015_1975-01-31_1984-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_015.json
kf49,cover_ncubes_8_overlap_015,8,0.15,1985-01-31,1994-12-31,181,49,2.464450579077717,0.13230503123383341,0.1597374080629103,0.5133178111748364,0.7155391513220487,-0.3076243349920571,2.575199653009352,0.13587366321772198,0.1655553724248907,0.5203706000715539,0.7270637349668642,-0.31443948927031706,-0.0035686319838885705,-0.005817964361980399,-0.007052788896717455,-0.011524583644815456,0.0068151542782599606,3.464450579077717,3.575199653009352,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_015_1985-01-31_1994-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_015.json
kf49,cover_ncubes_8_overlap_015,8,0.15,1995-01-31,2004-12-31,181,49,2.485823255616971,0.1330016342578082,0.13811904024014762,0.7014580905532658,1.0141722044638928,-0.22735982178184178,2.536210858723081,0.13462883235476242,0.14568936117305753,0.6822566555214297,1.0022050373073292,-0.23006362432375804,-0.0016271980969542188,-0.0075703209329099075,0.019201435031836134,0.01196716715656354,0.002703802541916267,3.485823255616971,3.536210858723081,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_015_1995-01-31_2004-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_015.json
kf49,cover_ncubes_8_overlap_015,8,0.15,2005-01-31,2014-12-31,181,49,1.3192222887710376,0.0877628880576573,0.1626513121632634,0.5145840486073788,0.7523523296100678,-0.4874592565594029,1.4377810958820505,0.09319961605845584,0.17505979287591308,0.5188182706716811,0.7502614768908369,-0.5262723700824792,-0.00543672800079853,-0.012408480712649689,-0.00423422206430224,0.002090852719230929,0.03881311352307626,2.3192222887710376,2.4377810958820505,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_015_2005-01-31_2014-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_015.json
kf49,cover_ncubes_8_overlap_015,8,0.15,2015-01-31,2025-11-30,192,49,2.8343530505346877,0.13101399400615898,0.15941242050791388,0.7375578455232596,1.1908108412883143,-0.2434053553780816,2.2706120955835307,0.11465788187213821,0.16640000505639752,0.6252510106672582,0.9679111583863834,-0.2594172622409232,0.016356112134020773,-0.0069875845484836385,0.11230683485600146,0.22289968290193085,0.016011906862841596,3.8343530505346877,3.2706120955835307,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_015_2015-01-31_2025-11-30.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_015.json
kf49,cover_ncubes_8_overlap_025,8,0.25,1975-01-31,1984-12-31,180,49,3.7715952128525183,0.16913956942735475,0.16985620005830673,0.505103852232544,0.8061273829975972,-0.20287439552637032,3.957155331419166,0.17360851753296958,0.1691482309695731,0.5292270871386188,0.8558408331272805,-0.18761342492756894,-0.004468948105614823,0.0007079690887336343,-0.02412323490607482,-0.04971345012968331,-0.015260970598801382,4.771595212852518,4.957155331419166,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_025_1975-01-31_1984-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_025.json
kf49,cover_ncubes_8_overlap_025,8,0.25,1985-01-31,1994-12-31,181,49,2.4902921691392104,0.1331468042006041,0.1593820216673892,0.518718400165186,0.7253649096279233,-0.30599626412973,2.575199653009352,0.13587366321772198,0.1655553724248907,0.5203706000715539,0.7270637349668642,-0.31443948927031706,-0.0027268590171178886,-0.0061733507575015,-0.0016521999063678905,-0.0016988253389408348,0.00844322514058704,3.4902921691392104,3.575199653009352,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_025_1985-01-31_1994-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_025.json
kf49,cover_ncubes_8_overlap_025,8,0.25,1995-01-31,2004-12-31,181,49,2.3623864776200074,0.12892414858096046,0.1401392675486817,0.6673721038846988,0.9668398051922821,-0.22696033896546097,2.536210858723081,0.13462883235476242,0.14568936117305753,0.6822566555214297,1.0022050373073292,-0.23006362432375804,-0.005704683773801955,-0.005550093624375835,-0.014884551636730858,-0.03536523211504716,0.00310328535829707,3.3623864776200074,3.536210858723081,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_025_1995-01-31_2004-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_025.json
kf49,cover_ncubes_8_overlap_025,8,0.25,2005-01-31,2014-12-31,181,49,1.3233226920880239,0.08795505255781633,0.16351837674810216,0.5135115512993498,0.7577414136949668,-0.48511181386937285,1.4377810958820505,0.09319961605845584,0.17505979287591308,0.5188182706716811,0.7502614768908369,-0.5262723700824792,-0.00524456350063951,-0.011541416127810927,-0.005306719372331292,0.00747993680412995,0.041160556213106325,2.323322692088024,2.4377810958820505,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_025_2005-01-31_2014-12-31.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_025.json
kf49,cover_ncubes_8_overlap_025,8,0.25,2015-01-31,2025-11-30,192,49,2.9117512592752717,0.13308636509600547,0.15918268544325068,0.7498298652832528,1.2262376902155003,-0.23739349076560934,2.2706120955835307,0.11465788187213821,0.16640000505639752,0.6252510106672582,0.9679111583863834,-0.2594172622409232,0.018428483223867254,-0.007217319613146839,0.1245788546159946,0.2583265318291169,0.02202377147531387,3.9117512592752717,3.2706120955835307,results_49_Industry_Portfolios/cover_grid/nav_curves_kf49_cover_ncubes_8_overlap_025_2015-01-31_2025-11-30.csv,results_49_Industry_Portfolios/cover_grid/config_kf49_cover_ncubes_8_overlap_025.json
