Date,tda_mapper_ret,tda_mapper_nav,eqw_reb_ret,eqw_reb_nav
1995-01-31,0.0022844588744588877,1.0022844588744588,0.013306122448979612,1.0133061224489797
1995-02-28,0.03149515873015871,1.033851566999481,0.03894489795918364,1.0527692259891712
1995-03-31,0.0439853968253968,1.0793259384325113,0.03342244897959184,1.0879553517320786
1995-04-30,0.00681410002623639,1.086680573337902,0.01599183673469389,1.1053537560916145
1995-05-31,0.02550555194805192,1.1143969611521105,0.02545306122448978,1.1334883929201343
1995-06-30,0.02077046989374266,1.1375435096833988,0.0313326530612245,1.169003591484426
1995-07-31,0.037400278040141656,1.1800879532283166,0.041953061224489795,1.2180468707296206
1995-08-31,0.012262023809523825,1.1945582198081346,0.00912857142857144,1.2291658985924239
1995-09-30,0.02294890476190474,1.2219720226270618,0.023459183673469386,1.2580011271726685
1995-10-31,-0.03553734920634919,1.178546376138575,-0.02231428571428571,1.229929730592044
1995-11-30,0.054505888888888875,1.242784093966787,0.04920612244897957,1.2904498035191965
1995-12-31,0.021500730158730174,1.2695048594167289,0.015338775510204091,1.3102437233625643
1996-01-31,0.034086837301587326,1.3127782650132414,0.026230612244897988,1.3446122184163993
1996-02-29,0.021592621428571393,1.3411245891093289,0.022877551020408133,1.3753736530458849
1996-03-31,0.018106028571428567,1.3654070292375877,0.019455102040816317,1.4021316878101429
1996-04-30,0.017174156249999975,1.3888567429025624,0.026132653061224493,1.4387731087538345
1996-05-31,0.03985293750000002,1.444206763873912,0.03171020408163268,1.4843968976595836
1996-06-30,-0.0028607500000000065,1.4400752493741598,-0.008593877551020401,1.4716401724839827
1996-07-31,-0.053989366684173645,1.3623264986828953,-0.056087755102040796,1.389099178891376
1996-08-31,0.03320029411764702,1.4075561391234317,0.03345714285714284,1.4355744685622847
1996-09-30,0.04097798319327729,1.4652349509360258,0.048591836734693854,1.505331668759158
1996-10-31,0.0029690159751400544,1.4695852569126886,0.0018877551020408392,1.5081733662971217
1996-11-30,0.05422840624999993,1.5492785232435606,0.057334693877550975,1.5946440245680427
1996-12-31,0.010300053571428576,1.5652361750300332,-0.0013061224489795817,1.5925612242094234
1997-01-31,0.04508186714616405,1.6357999443251072,0.045046938775510206,1.6643012321726367
1997-02-28,0.02393913359788363,1.6749595777317166,0.006726530612244928,1.6754962053588427
1997-03-31,-0.049382890211640246,1.592245232795656,-0.043542857142857154,1.6025403134455034
1997-04-30,0.02945490896358544,1.6391446711753548,0.03257755102040816,1.6547471522690353
1997-05-31,0.06364588235294119,1.7434694800764317,0.0692816326530612,1.7693907366062378
1997-06-30,0.039483366013071855,1.8123075236909094,0.04196122448979589,1.8436365385151372
1997-07-31,0.07334123529411768,1.9452243962112241,0.06633877551020413,1.9659411289661026
1997-08-31,-0.028552611111111126,1.889683160502359,-0.026140816326530633,1.9145498230050275
1997-09-30,0.044949055555555555,1.9746226338661774,0.05075306122448979,2.011719087389338
1997-10-31,-0.05916525793650793,1.8577935764062183,-0.04860612244897956,1.9139372230947422
1997-11-30,0.0028584077380952237,1.8631039079408016,0.020510204081632663,1.9531924661398488
1997-12-31,0.019193452380952377,1.8988633040786294,0.01416938775510204,1.9808680075529284
1998-01-31,-0.021007254464285714,1.8589733994569553,-0.005791836734693873,1.9693951434602035
1998-02-28,0.061920416666666686,1.9740818069235797,0.07379183673469389,2.114720428352518
1998-03-31,0.05188470238095237,2.0765064539514624,0.04762448979591836,2.2154329098138126
1998-04-30,-0.0007241483516483541,2.0750027552256465,0.010057142857142851,2.2377138350782255
1998-05-31,-0.034324075091575104,2.0037802048400564,-0.02906530612244896,2.1726739974472378
1998-06-30,0.00511636446886448,2.014032274683514,0.008683673469387757,2.191540788996499
1998-07-31,-0.04161288911088912,1.9302225729713571,-0.04178163265306123,2.0999746368064476
1998-08-31,-0.1688045,1.6043923166522136,-0.16524489795918362,1.7529645422304925
1998-09-30,0.05118085389610389,1.686506485402822,0.05086938775510205,1.8421367752501605
1998-10-31,0.07663484126984127,1.815751642212225,0.08730204081632652,2.0029590751923063
1998-11-30,0.051011587301587315,1.9083760156269345,0.051697959183673446,2.1065079717081665
1998-12-31,0.018206719576719564,1.9431212825903914,0.03183877551020407,2.173576606129838
1999-01-31,0.0024258253166586407,1.9478349553910375,0.011295918367346931,2.1981291500378557
1999-02-28,-0.05385882034632033,1.842926862464349,-0.03550204081632652,2.1200910792336547
1999-03-31,0.037747099567099575,1.9124920062366733,0.027432653061224492,2.178250802268469
1999-04-30,0.07848802251082251,2.062599721873945,0.09519183673469388,2.3856024970052245
1999-05-31,-0.0019662785714285526,2.05854407623939,-0.01728163265306121,2.3443753909957548
1999-06-30,0.018786428571428565,2.0972167674887983,0.030832653061224496,2.416658704071599
1999-07-31,-0.044719202686202664,2.003430905786564,-0.03986530612244895,2.320317865040304
1999-08-31,-0.005829609279609288,1.9917516863871343,-0.027755102040816347,2.255917205928981
1999-09-30,-0.02960027472527471,1.932795289285546,-0.03889591836734691,2.168171234443674
1999-10-31,-0.0019310846560846705,1.9290628979590538,0.014963265306122436,2.2006141558537577
1999-11-30,0.010190889550264506,1.9487217648876676,0.010826530612244895,2.224439172377848
1999-12-31,0.0370727017195767,2.020966145611795,0.04965510204081631,2.334893926465859
2000-01-31,-0.03137662901912902,1.9575550406007147,-0.034069387755102036,2.2553455199180608
2000-02-29,-0.017866098901098918,1.9225811686409977,-0.0209530612244898,2.208089127156839
2000-03-31,0.06255134615384614,2.0428412088295267,0.07744693877551018,2.3790988705986242
2000-04-30,-0.0081923334205477,2.0261055725215606,-0.0006755102040816286,2.377491765035016
2000-05-31,-0.007985861678004526,2.009925373674369,-0.0171530612244898,2.33671050322865
2000-06-30,0.031775328798185926,2.073791413282689,0.00581632653061224,2.350301574522939
2000-07-31,-0.0015280683760683746,2.0706225182054894,0.007506122448979588,2.3679432259333377
2000-08-31,0.07150339682539683,2.218679061800339,0.06350408163265304,2.518317285854496
2000-09-30,-0.024830041514041497,2.163589168589502,-0.02623061224489794,2.452260281619623
2000-10-31,0.006209450142450118,2.1770238676606035,0.006004081632653056,2.46698385253498
2000-11-30,-0.010004455026455061,2.155243930285074,-0.03563877551020409,2.379063568827187
2000-12-31,0.07820197883597892,2.3237882705075994,0.05822857142857143,2.517593041777753
2001-01-31,0.010543375661375635,2.3482888432010594,0.027732653061224494,2.5874125761547284
2001-02-28,0.006203730158730136,2.3628569935190353,-0.03457755102040816,2.4979461857918928
2001-03-31,-0.02908609523809525,2.294130709971541,-0.04891632653061223,2.375755834511799
2001-04-30,0.06379999007936504,2.4404962265084924,0.07027142857142854,2.5427035909398494
2001-05-31,0.024115744047619028,2.499350608856151,0.02267551020408163,2.600360692162161
2001-06-30,-0.02594896577380952,2.4344950454501926,-0.014906122448979589,2.5615993972732785
2001-07-31,-0.02078665773809524,2.3838900301753307,-0.011930612244897974,2.5310379481376466
2001-08-31,-0.0016842812500000004,2.3798748888954444,-0.027830612244897954,2.460597612425906
2001-09-30,-0.07514237500000005,2.201045437540979,-0.09905510204081634,2.2168628648456687
2001-10-31,0.04284831636904764,2.295356528791384,0.037716326530612264,2.3004747885297765
2001-11-30,0.022897726984127,2.347914975918883,0.06335714285714286,2.446226298345913
2001-12-31,0.034498044444444494,2.428913451109909,0.036546938775510206,2.535628381102604
2002-01-31,0.015779119047618997,2.4672395656113357,0.009340816326530601,2.5593132200828212
2002-02-28,0.01712799206349212,2.5094984253098604,0.011308163265306145,2.588254351822574
2002-03-31,0.061780499999999954,2.664536492774716,0.05711020408163263,2.736070086070335
2002-04-30,-0.0014081922398589141,2.66078431316277,-0.0115204081632653,2.7045494419155043
2002-05-31,0.00968064373897708,2.6865424181647577,-0.004434693877551026,2.6925555930639073
2002-06-30,-0.05349221781305115,2.5428333059682875,-0.05194489795918366,2.5526910675327734
2002-07-31,-0.10264203174603174,2.281831729052224,-0.10500408163265307,2.284648086294618
2002-08-31,0.02893972698412697,2.3478673163147135,0.00902040816326529,2.3052565445424182
2002-09-30,-0.07935173333333334,2.1615599751284593,-0.0861755102040816,2.1065998856651773
2002-10-31,0.02229160218253968,2.209744610187723,0.038499999999999986,2.1877039812632866
2002-11-30,0.03762770833333334,2.2928922358710224,0.05916734693877551,2.317144621722032
2002-12-31,0.004403229166666706,2.3029883658400334,-0.03130816326530608,2.2445990795958326
2003-01-31,-0.048817550595238075,2.190562114770393,-0.03846122448979594,2.158269050505908
2003-02-28,-0.014293147392290288,2.1592520875920127,-0.022144897959183684,2.1104744026139906
2003-03-31,-0.014984405895691631,2.1268969778804143,-0.00014693877551021496,2.1101642920895247
2003-04-30,0.06169026077097504,2.2581058070788558,0.0763142857142857,2.271199972780128
2003-05-31,0.07636933673469387,2.4305558498422286,0.07482244897959184,2.4411367168659197
2003-06-30,0.01926821995464853,2.4773883345690466,0.01674489795918366,2.4820133020942565
2003-07-31,0.014061731359210381,2.512224703802198,0.03292653061224491,2.563737389065662
2003-08-31,0.03397553688141922,2.597578886880642,0.037889795918367324,2.6608768755256476
2003-09-30,-0.00959898459383756,2.572644767164197,-0.015912244897959192,2.618536351038967
2003-10-31,0.06784642055372872,2.747189505972569,0.07317755102040814,2.8101544284659146
