Date,tda_mapper_ret,tda_mapper_nav,tda_ph_ret,tda_ph_nav,eqw_reb_ret,eqw_reb_nav
1985-01-31,0.09208982142857146,1.0920898214285715,0.09208982142857146,1.0920898214285715,0.09924897959183675,1.0992489795918368
1985-02-28,0.014185750000000007,1.1075819346129019,0.014185750000000007,1.1075819346129019,0.017622448979591848,1.1186204386505623
1985-03-31,0.025391607142857153,1.1357052199751185,0.025391607142857153,1.1357052199751185,-0.004561224489795909,1.113518159711003
1985-04-30,-0.014386785714285717,1.1193660723407408,-0.014386785714285717,1.1193660723407408,-0.015393877551020417,1.0963767975095744
1985-05-31,0.054721547619047656,1.180619516171481,0.054721547619047656,1.180619516171481,0.056120408163265315,1.1579059108865455
1985-06-30,0.020347500000000022,1.2046421717767801,0.020347500000000022,1.2046421717767801,0.01841428571428575,1.1792279211598706
1985-07-31,0.02151973214285715,1.230565748641406,0.02151973214285715,1.230565748641406,0.016889795918367343,1.1991448400895015
1985-08-31,-0.007104166666666677,1.221823604468766,-0.007104166666666677,1.221823604468766,-0.008744897959183692,1.1886584408246372
1985-09-30,-0.04702708333333329,1.1643648040027796,-0.04702708333333329,1.1643648040027796,-0.04539591836734691,1.134698199278304
1985-10-31,0.03027493642857143,1.1996158744236298,0.03027493642857143,1.1996158744236298,0.028591836734693867,1.1671413049352204
1985-11-30,0.07753321142857142,1.2926259456483877,0.07753321142857142,1.2926259456483877,0.07313469387755096,1.252499826983503
1985-12-31,0.04677572000000001,1.353089454946772,0.04677572000000001,1.353089454946772,0.04430612244897959,1.30799323768516
1986-01-31,0.021787013888888904,1.3825692336946065,0.021787013888888904,1.3825692336946065,0.018904081632653075,1.3327196486253186
1986-02-28,0.07237473214285713,1.4826323116522089,0.07237473214285713,1.4826323116522089,0.07844081632653056,1.4372592657978955
1986-03-31,0.056077410714285694,1.5657744927310004,0.056077410714285694,1.5657744927310004,0.05959591836734691,1.5229140516750999
1986-04-30,-0.004529947344322352,1.558681616725846,-0.004529947344322352,1.558681616725846,-0.001759183673469395,1.520234966139296
1986-05-31,0.044632362637362644,1.6282492598797444,0.044632362637362644,1.6282492598797444,0.044873469387755126,1.5884531833545426
1986-06-30,0.003432619047619058,1.6338384193034792,0.003432619047619058,1.6338384193034792,0.008663265306122436,1.6022143747082978
1986-07-31,-0.061176775335775334,1.533885453390792,-0.061176775335775334,1.533885453390792,-0.07264285714285715,1.4858249447741307
1986-08-31,0.06507617460317464,1.633704850976921,0.06507617460317464,1.633704850976921,0.059465306122449005,1.5741799799594953
1986-09-30,-0.06956525396825398,1.5200557581095429,-0.06956525396825398,1.5200557581095429,-0.07151632653061227,1.4616004104947595
1986-10-31,0.05094121031746034,1.5974892381776675,0.05094121031746034,1.5974892381776675,0.050722448979591855,1.5357363627446305
1986-11-30,0.016003485449735455,1.623054633956953,0.016003485449735455,1.623054633956953,0.01349387755102041,1.5564594011741562
1986-12-31,-0.031021025132275164,1.5727058153659188,-0.031021025132275164,1.5727058153659188,-0.031914285714285735,1.506786111142398
1987-01-31,0.14091837962962964,1.7943289705013796,0.14091837962962964,1.7943289705013796,0.1374489795918368,1.7138923245820725
1987-02-28,0.06383799603174604,1.9088753361998938,0.06383799603174604,1.9088753361998938,0.0632,1.8222103194956594
1987-03-31,0.028380019841269852,1.9630492561157573,0.028380019841269852,1.9630492561157573,0.02521224489795918,1.8681523323263725
1987-04-30,-0.012972028769841264,1.9375845246888082,-0.012972028769841264,1.9375845246888082,-0.017067346938775506,1.8362679283360757
1987-05-31,0.0075959722222222244,1.9523023629165521,0.0075959722222222244,1.9523023629165521,0.008112244897959175,1.851164183469006
1987-06-30,0.0317375248015873,2.0142636075798137,0.0317375248015873,2.0142636075798137,0.037342857142857115,1.920291943120263
1987-07-31,0.06919197466422465,2.153634484082546,0.06919197466422465,2.153634484082546,0.0540734693877551,2.0241287907221293
1987-08-31,0.03617265659340657,2.2315371647029822,0.03617265659340657,2.2315371647029822,0.03605102040816325,2.0971006990652037
1987-09-30,-0.006702645604395584,2.2165799619349404,-0.006702645604395584,2.2165799619349404,-0.013287755102040805,2.069234938551707
1987-10-31,-0.25893853545264256,1.6426219928778327,-0.25893853545264256,1.6426219928778327,-0.25963877551020403,1.5319813128632092
1987-11-30,-0.06154340986394556,1.5415294343186212,-0.06154340986394556,1.5415294343186212,-0.061548979591836715,1.4376894263027162
1987-12-31,0.09176120748299317,1.6829820365822734,0.09176120748299317,1.6829820365822734,0.09163469387755102,1.5694316567729576
1988-01-31,0.025230794740973325,1.725445010900026,0.025230794740973325,1.725445010900026,0.025861224489795914,1.6100190811701556
1988-02-29,0.06815762820512822,1.8430472504413433,0.06815762820512822,1.8430472504413433,0.06790612244897959,1.71934923404129
1988-03-31,0.0021449358974359066,1.8470004686494854,0.0021449358974359066,1.8470004686494854,-0.000783673469387741,1.7180018256619596
1988-04-30,0.00979029914529914,1.8650831557590717,0.00979029914529914,1.8650831557590717,0.00976938775510203,1.7347856516608242
1988-05-31,-0.004596250000000024,1.856510767304414,-0.004596250000000024,1.856510767304414,-0.00377959183673471,1.7282288699733224
1988-06-30,0.05828791666666662,1.9647229121998226,0.05828791666666662,1.9647229121998226,0.06049387755102036,1.832776135613627
1988-07-31,-0.01675987179487181,1.9317944080789065,-0.015491978458049891,1.934285467167986,-0.015422448979591842,1.8045102391711123
1988-08-31,-0.03297384615384616,1.8680957164660523,-0.030683673469387763,1.8749344834968216,-0.030683673469387763,1.7491412362202192
1988-09-30,0.02874282051282054,1.921790056345205,0.0369714285714286,1.9442534898295327,0.0369714285714286,1.8138094864964756
