rebalance_date,n_assets_panel,n_assets_used_ph,landscape_norm_L2,market_safe,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
2004-12-31,49,49,0.47111096256549456,True,48.0,29.0,1.1548343896865845,0.1004563570022583,0.0324062705039978,0.05628782510757446,0.07357331514358519
2005-03-31,49,49,0.42015594817022056,True,48.0,23.0,0.7370789647102356,0.09995526075363159,0.017744600772857666,0.04589778184890747,0.07812012434005738
2005-06-30,49,49,0.47713584065659426,True,48.0,21.0,0.7528141736984253,0.11409217119216919,0.0268324613571167,0.04293948411941528,0.07535934448242188
2005-09-30,49,49,0.3808975073767104,True,48.0,20.0,0.7792335748672485,0.11345970630645752,0.039087265729904175,0.051592305302619934,0.0787439584732056
2005-12-31,49,49,0.3885159269992165,True,48.0,20.0,0.8586471676826477,0.11349117755889893,0.03503122925758362,0.06192411482334137,0.07037496566772466
2006-03-31,49,49,0.34176719619958595,True,48.0,27.0,0.7445958852767944,0.12309795618057251,0.022877395153045654,0.033517032861709595,0.03897426128387451
2006-06-30,49,49,0.21609055551242293,True,48.0,20.0,0.6658011674880981,0.07159960269927979,0.030490726232528687,0.04524533450603485,0.06416087746620178
2006-09-30,49,49,0.41572740707972944,True,48.0,22.0,0.9894685745239258,0.13273805379867554,0.03536298871040344,0.07296198606491089,0.09528788328170779
2006-12-31,49,49,0.44259846188467444,True,48.0,28.0,1.2441745400428772,0.1121147871017456,0.0345609188079834,0.07753162086009979,0.09741042852401734
2007-03-31,49,49,0.5063605785469658,False,48.0,26.0,0.9971921443939209,0.15529227256774902,0.024233579635620117,0.041822925209999084,0.09632661938667297
2007-06-30,49,49,0.3166555290290408,True,48.0,18.0,0.7610107064247131,0.10210263729095459,0.03717774152755737,0.061333537101745605,0.0801010012626648
2007-09-30,49,49,0.5799586277527989,False,48.0,25.0,1.1196487545967102,0.13170814514160156,0.03996014595031738,0.06055021286010742,0.10975461006164552
2007-12-31,49,49,0.5974788945189091,False,48.0,27.0,1.0291740894317627,0.20257556438446045,0.023404717445373535,0.051296502351760864,0.07612615823745728
2008-03-31,49,49,0.315326377712115,True,48.0,16.0,0.5728029012680054,0.12711340188980103,0.023399651050567627,0.04516319930553436,0.07744297385215759
2008-06-30,49,49,0.3707015925652409,True,48.0,14.0,0.5645667910575867,0.12876713275909424,0.028191298246383667,0.05171266198158264,0.07707124352455141
2008-09-30,49,49,0.2871730241648064,True,48.0,19.0,0.5455038547515869,0.08921545743942261,0.02066725492477417,0.03967258334159851,0.06199457645416258
