,tda_mapper_ret,tda_mapper_nav,tda_ph_ret,tda_ph_nav,eqw_reb_ret,eqw_reb_nav
2005-01-31,-0.007745417031077282,0.9922545829689228,-0.010893146605905964,0.989106853394094,-0.018401947457558118,0.9815980525424419
2005-02-28,0.01311790736273516,1.0052708866685585,0.01224077853601939,1.0012142913349502,0.01602525218106644,0.9973284088748783
2005-03-31,-0.005986303680467611,0.9992530298598276,-0.005850814137956648,0.9953563726040835,-0.008837429832511567,0.9885145890414762
2005-04-30,-0.019969331703856473,0.9792986146504731,-0.0168949649328067,0.9785398615932918,-0.022779434740900273,0.965996785469978
2005-05-31,0.020256606967269823,0.9991358817910395,0.021645148941337095,0.999720502642514,0.0314395091014946,0.9963672501987758
2005-06-30,0.008591696069373406,1.0077201536193936,0.005010223301407108,1.004729325599748,0.011025768792081978,1.00735296513147
2005-07-31,0.030842599011767023,1.038800862233553,0.02943960331260234,1.0343081583819431,0.038971505328720686,1.0466110265799937
2005-08-31,-0.011198827646808778,1.027167510418043,-0.008933332692123564,1.0250683394969395,-0.010411711300120629,1.03571401472772
2005-09-30,0.0016566316187512707,1.0288691485935555,0.0014476523227451802,1.0265522820595847,0.0044962214488609145,1.0403708142956245
2005-10-31,-0.009401783788195863,1.0191959433121336,-0.00025,1.0262956439890698,-0.02061290895938874,1.0189257454165437
2005-11-30,0.029493824399875232,1.0492559294932469,0.0,1.0262956439890698,0.03414484572410585,1.0537168077981112
2005-12-31,0.010897682127191576,1.0606903870829352,0.0,1.0262956439890698,0.006245190024375911,1.0602974694946892
2006-01-31,0.0190845633218352,1.0809331999400815,0.01818836207253677,1.0449622807554102,0.03162402892485261,1.0938283473389372
2006-02-28,0.0037147869180527817,1.0849486364505079,0.005603523548423212,1.0508177515028372,0.0029029290890321127,1.0970036534668353
2006-03-31,0.009510530614024107,1.0952670736721142,0.01166285238774203,1.0630732838250336,0.011160116409882905,1.1092463419415919
2006-04-30,0.003476182169511453,1.0990744215444663,0.00552591850981895,1.0689477401614162,0.01133473145961762,1.1218193513500632
2006-05-31,-0.015029682927259713,1.0825556814751915,-0.01717732895175618,1.0505860731964272,-0.02326406157016756,1.0957212768896498
2006-06-30,0.0013148940140055724,1.083979127460591,-0.0015698112614835238,1.0489368513475656,-0.0029526325464248656,1.0924860145856952
2006-07-31,0.012375953306129145,1.0973944025268618,0.005279423878807631,1.0544746336079314,-0.011222457079953754,1.0802256371765575
2006-08-31,0.02359190972528131,1.1232840322043045,0.022391195934084018,1.0780855817365682,0.024410546181453142,1.1065945349792456
2006-09-30,0.018423280517541652,1.1439786090304798,0.019541013305758057,1.0991524664340284,0.021395925617597216,1.1302711493385011
2006-10-31,0.023567711265663923,1.1709395665822058,-0.00025,1.09887767831742,0.03152630559936494,1.165904423002692
2006-11-30,0.012255899074194719,1.1852904837322187,0.0,1.09887767831742,0.01827650524660975,1.1872130813067463
2006-12-31,0.005490369147401343,1.1917981660348105,0.0,1.09887767831742,0.008422786842087306,1.1972127240267307
2007-01-31,0.017977605642465866,1.2132238434691984,0.022358679022290183,1.1234471316116785,0.01811510550073417,1.2189003588292964
