rebalance_date,n_assets_panel,n_assets_used_ph,landscape_norm_L2,market_safe,H0_count,H1_count,H1_total_persistence,H1_max_persistence,H1_q50,H1_q75,H1_q90
1994-12-31,502,500,1.7103522144598542,True,499.0,1015.0,47.93060451745987,0.273245632648468,0.03834909200668335,0.07126179337501526,0.0993393063545227
1995-03-31,502,500,1.4807331584193928,True,499.0,958.0,45.5328164100647,0.17733252048492432,0.04073098301887512,0.07044897973537445,0.10123746991157533
1995-06-30,501,500,1.5776542121200285,True,499.0,981.0,46.73664551973343,0.21676933765411377,0.037527263164520264,0.06940668821334839,0.10461962223052979
1995-09-30,501,500,1.4294632984359812,True,499.0,998.0,46.53194785118103,0.19743674993515015,0.03899663686752319,0.06926994025707245,0.09914034008979798
1995-12-31,503,500,1.5252051113071334,True,499.0,990.0,47.875042736530304,0.18767154216766357,0.039800941944122314,0.07104134559631348,0.10376117825508119
1996-03-31,500,500,1.644620876397873,True,499.0,994.0,48.259882509708405,0.18899661302566528,0.04024535417556763,0.07039916515350342,0.10794298052787785
1996-06-30,500,500,1.6253721845212945,True,499.0,1004.0,50.15977966785431,0.17676329612731934,0.04032617807388306,0.07245640456676483,0.10824419260025028
1996-09-30,501,498,1.6525588543534966,True,497.0,1014.0,49.08314889669418,0.21394270658493042,0.04095187783241272,0.07258619368076324,0.10294741392135623
1996-12-31,500,499,1.419773746303808,True,496.0,975.0,47.35247391462326,0.17880821228027344,0.04017961025238037,0.07188990712165833,0.1013350009918213
1997-03-31,500,499,1.5548414703487303,True,498.0,938.0,43.430601477622986,0.18814003467559814,0.037928223609924316,0.06842924654483795,0.09728370904922486
1997-06-30,500,499,1.2486763153377618,True,496.0,954.0,44.040512800216675,0.21232157945632935,0.03660053014755249,0.06802396476268768,0.09939946532249452
1997-09-30,500,500,1.486338998211702,True,499.0,888.0,37.22835749387741,0.20539218187332153,0.032131463289260864,0.06299595534801483,0.09076856374740605
1997-12-31,500,500,1.3636024449085962,True,499.0,858.0,35.17886525392532,0.19157344102859497,0.033140599727630615,0.060197457671165466,0.08478434085845948
1998-03-31,501,500,1.4488782088437948,True,498.0,833.0,36.27269297838211,0.20839673280715942,0.034553706645965576,0.06272375583648682,0.09509342908859256
1998-06-30,500,499,1.553923980620855,True,498.0,814.0,34.24741691350937,0.2341376543045044,0.033354371786117554,0.06199294328689575,0.0887825071811676
1998-09-30,500,500,1.319151345343622,True,499.0,686.0,25.44538152217865,0.17026782035827637,0.029629677534103394,0.05391000211238861,0.07700297236442566
1998-12-31,502,500,1.3777645224705233,True,497.0,728.0,27.655311465263367,0.28273963928222656,0.03207787871360779,0.05572587251663208,0.08296641707420353
1999-03-31,503,499,1.3329446026137437,True,495.0,745.0,30.725322008132935,0.1699213981628418,0.03254884481430054,0.059174418449401855,0.09247945547103885
1999-06-30,501,500,1.3705164913421353,True,499.0,713.0,30.2542045712471,0.19136786460876465,0.03366118669509888,0.061573684215545654,0.09301741123199463
